作物经验效率完整列表
================================================================================

排名 | seed_id | 作物名称 | 生长时间 | 收获经验 | 总经验 | 每小时经验
--------------------------------------------------------------------------------
   1 |   20016 | 菠萝蜜      | 4小时0分      |      867 |    868 |     217.00
   2 |   20204 | 人参       | 8小时0分      |     1734 |   1735 |     216.88
   3 |   20022 | 鳄梨       | 12小时0分     |     2601 |   2602 |     216.83
   4 |   20242 | 似血杜鹃     | 1天0小时      |     5202 |   5203 |     216.79
   5 |   20089 | 芦荟       | 4小时0分      |      831 |    832 |     208.00
   6 |   20202 | 金边灵芝     | 8小时0分      |     1662 |   1663 |     207.88
   7 |   20090 | 薄荷       | 12小时0分     |     2493 |   2494 |     207.83
   8 |   20229 | 何首乌      | 1天0小时      |     4986 |   4987 |     207.79
   9 |   20087 | 百香果      | 4小时0分      |      795 |    796 |     199.00
  10 |   20235 | 金花茶      | 8小时0分      |     1590 |   1591 |     198.88
  11 |   20088 | 灯笼果      | 12小时0分     |     2385 |   2386 |     198.83
  12 |   20201 | 天山雪莲     | 1天0小时      |     4770 |   4771 |     198.79
  13 |   20085 | 番荔枝      | 4小时0分      |      762 |    763 |     190.75
  14 |   20227 | 大王花      | 8小时0分      |     1524 |   1525 |     190.63
  15 |   20086 | 橄榄       | 12小时0分     |     2286 |   2287 |     190.58
  16 |   20228 | 人参果      | 1天0小时      |     4572 |   4573 |     190.54
  17 |   20083 | 红毛丹      | 4小时0分      |      726 |    727 |     181.75
  18 |   20225 | 宝华玉兰     | 8小时0分      |     1452 |   1453 |     181.63
  19 |   20084 | 芭蕉       | 12小时0分     |     2178 |   2179 |     181.58
  20 |   20226 | 依米花      | 1天0小时      |     4356 |   4357 |     181.54
  21 |   20068 | 冬瓜       | 4小时0分      |      693 |    694 |     173.50
  22 |   20222 | 豹皮花      | 8小时0分      |     1386 |   1387 |     173.38
  23 |   20078 | 杏子       | 12小时0分     |     2079 |   2080 |     173.33
  24 |   20074 | 金桔       | 1天0小时      |     4158 |   4159 |     173.29
  25 |   20116 | 曼陀罗华     | 4小时0分      |      660 |    661 |     165.25
  26 |   20126 | 曼珠沙华     | 8小时0分      |     1320 |   1321 |     165.13
  27 |   20063 | 苦瓜       | 12小时0分     |     1980 |   1981 |     165.08
  28 |   20221 | 天堂鸟      | 1天0小时      |     3960 |   3961 |     165.04
  29 |   20218 | 瓶子树      | 4小时0分      |      627 |    628 |     157.00
  30 |   20077 | 蓝莓       | 8小时0分      |     1254 |   1255 |     156.88
  31 |   20220 | 猪笼草      | 12小时0分     |     1881 |   1882 |     156.83
  32 |   20076 | 山竹       | 1天0小时      |     3762 |   3763 |     156.79
  33 |   20057 | 芒果       | 4小时0分      |      597 |    598 |     149.50
  34 |   20048 | 杨梅       | 8小时0分      |     1194 |   1195 |     149.38
  35 |   20058 | 榴莲       | 12小时0分     |     1791 |   1792 |     149.33
  36 |   20079 | 番石榴      | 1天0小时      |     3582 |   3583 |     149.29
  37 |   20039 | 杨桃       | 4小时0分      |      567 |    568 |     142.00
  38 |   20056 | 哈密瓜      | 8小时0分      |     1134 |   1135 |     141.88
  39 |   20075 | 桑葚       | 12小时0分     |     1701 |   1702 |     141.83
  40 |   20042 | 柠檬       | 1天0小时      |     3402 |   3403 |     141.79
  41 |   20396 | 迎春花      | 4小时0分      |      540 |    541 |     135.25
  42 |   20023 | 石榴       | 8小时0分      |     1080 |   1081 |     135.13
  43 |   20095 | 栗子       | 12小时0分     |     1620 |   1621 |     135.08
  44 |   20026 | 柚子       | 1天0小时      |     3240 |   3241 |     135.04
